Tür 1;Tür 2;Tür 3;Tür 4;A;Ana;1
AKTÝF VARLIKLAR;1 - DÖNEN VARLIKLAR;A - HAZIR DEÐERLER;1 - Kasa;1;100;
AKTÝF VARLIKLAR;1 - DÖNEN VARLIKLAR;A - HAZIR DEÐERLER;1 - Kasa;1;100;
AKTÝF VARLIKLAR;1 - DÖNEN VARLIKLAR;A - HAZIR DEÐERLER;1 - Kasa;1;100;
AKTÝF VARLIKLAR;1 - DÖNEN VARLIKLAR;A - HAZIR DEÐERLER;1 - Kasa;1;100;
AKTÝF VARLIKLAR;1 - DÖNEN VARLIKLAR;A - HAZIR DEÐERLER;1 - Kasa;1;100;
AKTÝF VARLIKLAR;1 - DÖNEN VARLIKLAR;A - HAZIR DEÐERLER;2 - Alýnan çekler;1;101;
AKTÝF VARLIKLAR;1 - DÖNEN VARLIKLAR;A - HAZIR DEÐERLER;2 - Alýnan çekler;1;101;
AKTÝF VARLIKLAR;1 - DÖNEN VARLIKLAR;A - HAZIR DEÐERLER;2 - Alýnan çekler;1;101;
AKTÝF VARLIKLAR;1 - DÖNEN VARLIKLAR;A - HAZIR DEÐERLER;2 - Alýnan çekler;1;101;
AKTÝF VARLIKLAR;1 - DÖNEN VARLIKLAR;A - HAZIR DEÐERLER;2 - Alýnan çekler;1;101;
AKTÝF VARLIKLAR;1 - DÖNEN VARLIKLAR;A - HAZIR DEÐERLER;2 - Alýnan çekler;1;101;
AKTÝF VARLIKLAR;1 - DÖNEN VARLIKLAR;A - HAZIR DEÐERLER;2 - Alýnan çekler;1;101;
AKTÝF VARLIKLAR;1 - DÖNEN VARLIKLAR;A - HAZIR DEÐERLER;2 - Alýnan çekler;1;101;
AKTÝF VARLIKLAR;1 - DÖNEN VARLIKLAR;A - HAZIR DEÐERLER;2 - Alýnan çekler;1;101;
AKTÝF VARLIKLAR;1 - DÖNEN VARLIKLAR;A - HAZIR DEÐERLER;2 - Alýnan çekler;1;101;
AKTÝF VARLIKLAR;1 - DÖNEN VARLIKLAR;A - HAZIR DEÐERLER;2 - Alýnan çekler;1;101;
AKTÝF VARLIKLAR;1 - DÖNEN VARLIKLAR;A - HAZIR DEÐERLER;2 - Alýnan çekler;1;101;
AKTÝF VARLIKLAR;1 - DÖNEN VARLIKLAR;A - HAZIR DEÐERLER;2 - Alýnan çekler;1;101;
