Tür 1;Tür 2;Tür 3;A;Ana;1
GELÝR TABLOSU;   A-BRÜT SATIÞLAR;        1-Yurt Ýçi Satýþlar;6;600;
GELÝR TABLOSU;   A-BRÜT SATIÞLAR;        2-Yurt Dýþý Satýþlar;6;601;
GELÝR TABLOSU;   A-BRÜT SATIÞLAR;        3-Diðer Gelirler;6;602;
GELÝR TABLOSU;   B-SATIÞ ÝNDÝRÝMLERÝ  ( - );        1-Satýþtan Ýadeler  ( - );6;610;
GELÝR TABLOSU;   B-SATIÞ ÝNDÝRÝMLERÝ  ( - );        2-Satýþtan Ýskontalar  ( - );6;611;
GELÝR TABLOSU;   B-SATIÞ ÝNDÝRÝMLERÝ  ( - );        3-Diðer Ýndirimler  ( - );6;612;
GELÝR TABLOSU;   D-SATIÞLARIN MALÝYETÝ  ( - );        1-Satýlan Mamüller Maliyeti  ( - );6;620;
GELÝR TABLOSU;   D-SATIÞLARIN MALÝYETÝ  ( - );        2-Satýlan Ticari Mallar Maliyeti  ( - );6;621;
GELÝR TABLOSU;   D-SATIÞLARIN MALÝYETÝ  ( - );        3-Satýlan Hizmet Maliyeti  ( - );6;622;
GELÝR TABLOSU;   D-SATIÞLARIN MALÝYETÝ  ( - );        4-Diðer Satýþlarýn Maliyeti  ( - );6;623;
GELÝR TABLOSU;   E-FAALÝYET GÝDERLERÝ;        3-Satýlan Hizmet Maliyeti  ( - );7;740;
GELÝR TABLOSU;   E-FAALÝYET GÝDERLERÝ;         2-Pazarlama, Satýþ ve Daðýtým Giderleri (-);7;760;
GELÝR TABLOSU;   E-FAALÝYET GÝDERLERÝ;         3-Genel Yönetim Giderleri  ( - );7;770;
GELÝR TABLOSU;   F-DÝÐER FAALÝYETLERDEN OLAÐAN GELÝR VE KARLAR;          1-Ýþtiraklerden Temettü Gelirleri;6;640;
GELÝR TABLOSU;   F-DÝÐER FAALÝYETLERDEN OLAÐAN GELÝR VE KARLAR;          2-Baðlý Ortaklýklardan Temettü Gelirleri;6;641;
GELÝR TABLOSU;   F-DÝÐER FAALÝYETLERDEN OLAÐAN GELÝR VE KARLAR;          3-Faiz Gelirleri;6;642;
GELÝR TABLOSU;   F-DÝÐER FAALÝYETLERDEN OLAÐAN GELÝR VE KARLAR;          4-Komisyon Gelirleri;6;643;
GELÝR TABLOSU;   F-DÝÐER FAALÝYETLERDEN OLAÐAN GELÝR VE KARLAR;          5-Konusu Kalmayan Karþýlýklar;6;644;
GELÝR TABLOSU;   F-DÝÐER FAALÝYETLERDEN OLAÐAN GELÝR VE KARLAR;          6-Menkul Kýymet Satýþ Karlarý;6;645;
GELÝR TABLOSU;   F-DÝÐER FAALÝYETLERDEN OLAÐAN GELÝR VE KARLAR;          7-Kambiyo Karlarý;6;646;
GELÝR TABLOSU;   F-DÝÐER FAALÝYETLERDEN OLAÐAN GELÝR VE KARLAR;          8-Reeskont Faiz Gelirleri;6;647;
GELÝR TABLOSU;   F-DÝÐER FAALÝYETLERDEN OLAÐAN GELÝR VE KARLAR;          9-Enflasyon Düzeltmesi Karlarý;6;648;
GELÝR TABLOSU;   F-DÝÐER FAALÝYETLERDEN OLAÐAN GELÝR VE KARLAR;        10-Faaliyetlerle Ýlgili Diðer Olaðan Gelir ve Karlar;6;649;
GELÝR TABLOSU;   G-DÝÐER FAAL. OLAÐAN GÝDER VE ZARARLAR(-);           1-Komisyon Giderleri  ( - );6;653;
GELÝR TABLOSU;   G-DÝÐER FAAL. OLAÐAN GÝDER VE ZARARLAR(-);           2-Karþýlýk Giderleri  ( - );6;654;
GELÝR TABLOSU;   G-DÝÐER FAAL. OLAÐAN GÝDER VE ZARARLAR(-);           3-Menkul Kýymet Satýþ Zararlarý  ( - );6;655;
GELÝR TABLOSU;   G-DÝÐER FAAL. OLAÐAN GÝDER VE ZARARLAR(-);           4-Kambiyo Zararlarý  ( - );6;656;
